[2024-11-14 00:03:30.249]	 Already installed "tmux-copycat"
[2024-11-14 00:03:30.249]	 Already installed "tmux-cpu"
[2024-11-14 00:03:30.264]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-14 00:03:30.290]	 Updating all plugins!
[2024-11-14 00:03:30.290]	 
[2024-11-14 00:03:31.433]	   "tmux-power" update success
[2024-11-14 00:03:31.433]	   "tmux-cpu" update success
[2024-11-14 00:03:31.433]	   "tmux-copycat" update success
[2024-11-14 00:03:31.440]	     | Already up to date.
[2024-11-14 00:03:31.441]	     | Already up to date.
[2024-11-14 00:03:31.441]	     | Already up to date.
[2024-11-14 00:03:31.461]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-14 00:03:31.530]	 Done.

[2024-11-14 07:25:55.257]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-14 07:25:55.274]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-14 07:25:55.329]	 Already installed "tmux-power"
[2024-11-14 07:25:55.329]	 Already installed "tmux-cpu"
[2024-11-14 07:25:55.330]	 Already installed "tmux-copycat"
[2024-11-14 07:25:55.346]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-14 07:25:55.373]	 Updating all plugins!
[2024-11-14 07:25:55.373]	 
[2024-11-14 07:25:56.394]	   "tmux-copycat" update success
[2024-11-14 07:25:56.395]	   "tmux-power" update success
[2024-11-14 07:25:56.399]	     | Already up to date.
[2024-11-14 07:25:56.400]	     | Already up to date.
[2024-11-14 07:25:56.423]	   "tmux-cpu" update success
[2024-11-14 07:25:56.427]	     | Already up to date.
[2024-11-14 07:25:56.448]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-14 07:25:56.536]	 Done.

[2024-11-14 21:00:22.989]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-14 21:00:23.044]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-14 21:00:23.103]	 Already installed "tmux-copycat"
[2024-11-14 21:00:23.106]	 Already installed "tmux-power"
[2024-11-14 21:00:23.107]	 Already installed "tmux-cpu"
[2024-11-14 21:00:23.123]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-14 21:00:23.160]	 Updating all plugins!
[2024-11-14 21:00:23.160]	 
[2024-11-14 21:00:24.530]	   "tmux-power" update success
[2024-11-14 21:00:24.530]	   "tmux-cpu" update success
[2024-11-14 21:00:24.531]	   "tmux-copycat" update success
[2024-11-14 21:00:24.537]	     | Already up to date.
[2024-11-14 21:00:24.537]	     | Already up to date.
[2024-11-14 21:00:24.538]	     | Already up to date.
[2024-11-14 21:00:24.571]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-14 21:00:24.669]	 Done.

[2024-11-14 22:22:54.861]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-14 22:22:54.879]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-14 22:22:54.934]	 Already installed "tmux-cpu"
[2024-11-14 22:22:54.935]	 Already installed "tmux-power"
[2024-11-14 22:22:54.935]	 Already installed "tmux-copycat"
[2024-11-14 22:22:54.952]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-14 22:22:54.980]	 Updating all plugins!
[2024-11-14 22:22:54.980]	 
[2024-11-14 22:22:56.012]	   "tmux-copycat" update success
[2024-11-14 22:22:56.012]	   "tmux-cpu" update success
[2024-11-14 22:22:56.015]	     | Already up to date.
[2024-11-14 22:22:56.015]	     | Already up to date.
[2024-11-14 22:22:56.018]	   "tmux-power" update success
[2024-11-14 22:22:56.021]	     | Already up to date.
[2024-11-14 22:22:56.040]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-14 22:22:56.116]	 Done.

[2024-11-15 08:05:00.842]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-15 08:05:00.860]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-15 08:05:00.915]	 Already installed "tmux-cpu"
[2024-11-15 08:05:00.915]	 Already installed "tmux-power"
[2024-11-15 08:05:00.915]	 Already installed "tmux-copycat"
[2024-11-15 08:05:00.931]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-15 08:05:00.958]	 Updating all plugins!
[2024-11-15 08:05:00.958]	 
[2024-11-15 08:05:02.112]	   "tmux-cpu" update success
[2024-11-15 08:05:02.113]	   "tmux-copycat" update success
[2024-11-15 08:05:02.115]	   "tmux-power" update success
[2024-11-15 08:05:02.117]	     | Already up to date.
[2024-11-15 08:05:02.117]	     | Already up to date.
[2024-11-15 08:05:02.119]	     | Already up to date.
[2024-11-15 08:05:02.135]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-15 08:05:02.211]	 Done.

[2024-11-15 08:51:51.467]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-15 08:51:51.495]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-15 08:51:51.571]	 Already installed "tmux-cpu"
[2024-11-15 08:51:51.572]	 Already installed "tmux-copycat"
[2024-11-15 08:51:51.572]	 Already installed "tmux-power"
[2024-11-15 08:51:51.589]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-15 08:51:51.616]	 Updating all plugins!
[2024-11-15 08:51:51.616]	 
[2024-11-15 08:51:52.666]	   "tmux-cpu" update success
[2024-11-15 08:51:52.671]	     | Already up to date.
[2024-11-15 08:51:52.686]	   "tmux-power" update success
[2024-11-15 08:51:52.686]	   "tmux-copycat" update success
[2024-11-15 08:51:52.692]	     | Already up to date.
[2024-11-15 08:51:52.692]	     | Already up to date.
[2024-11-15 08:51:52.717]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-15 08:51:52.821]	 Done.

[2024-11-15 15:35:50.992]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-15 15:35:51.018]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-15 15:35:51.111]	 Already installed "tmux-cpu"
[2024-11-15 15:35:51.111]	 Already installed "tmux-copycat"
[2024-11-15 15:35:51.111]	 Already installed "tmux-power"
[2024-11-15 15:35:51.138]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-15 15:35:51.190]	 Updating all plugins!
[2024-11-15 15:35:51.190]	 
[2024-11-15 15:35:52.355]	   "tmux-power" update success
[2024-11-15 15:35:52.355]	   "tmux-cpu" update success
[2024-11-15 15:35:52.355]	   "tmux-copycat" update success
[2024-11-15 15:35:52.360]	     | Already up to date.
[2024-11-15 15:35:52.361]	     | Already up to date.
[2024-11-15 15:35:52.362]	     | Already up to date.
[2024-11-15 15:35:52.389]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-15 15:35:52.513]	 Done.

